Name,University,Major,Graduation Year,Skills,Achievements,Experience,Email ID
Casey Anderson,MIT,Computer Science,2026,"Computer Vision, Docker, Cybersecurity, TensorFlow, SQL, Data Analysis, MATLAB",Open Source Contributor,"Data Science Intern at Amazon, Teaching Assistant for CS courses",caseyandersonPRFLZ@gmail.com
Avery Smith,Carnegie Mellon University,Information Systems,2028,"SQL, Java, C++, Node.js, Computer Vision, AWS, NLP",Patent Holder,"Intern at Tesla (Autopilot team), Teaching Assistant for CS courses",averysmithMMKBC@gmail.com
Morgan Brown,University of Texas at Austin,Data Science,2029,"Computer Vision, Cloud Computing, Data Analysis, Python","Published Research Paper, Patent Holder, Open Source Contributor","Software Engineering Intern at Google, Startup Co-Founder (Tech Product)",morganbrownKCWZR@gmail.com
Morgan Anderson,Cornell University,Bioinformatics,2028,"SQL, Blockchain, MATLAB, C++, PyTorch, React","Hackathon Winner, Startup Founder, Patent Holder",Data Science Intern at Amazon,morganandersonGOPGG@gmail.com
Jamie Davis,UC Berkeley,Bioinformatics,2029,"Docker, Kubernetes, Data Analysis, Cybersecurity",Internship at FAANG,Research Assistant in AI Lab,jamiedavisXJVDD@gmail.com
Riley Davis,University of Texas at Austin,Software Engineering,2029,"Node.js, NLP, Data Analysis, Deep Learning, Cybersecurity, TensorFlow, Kubernetes","Internship at FAANG, Startup Founder",Software Engineering Intern at Google,rileydavisTMDUD@gmail.com
Sam Brown,Harvard University,Software Engineering,2028,"SQL, Computer Vision, MATLAB, Machine Learning, PyTorch","Published Research Paper, Robotics Competition Winner, Scholarship Recipient",Research Assistant in AI Lab,sambrownDCRHS@gmail.com
Jamie Miller,UCLA,Cybersecurity,2025,"Machine Learning, Data Analysis, AWS, Docker, PyTorch, C++","Open Source Contributor, Scholarship Recipient","Research Assistant in AI Lab, Cloud Engineer Intern at IBM",jamiemillerOJPJO@gmail.com
Alex Williams,Georgia Tech,Information Systems,2027,"SQL, Data Analysis, C++, Java, NLP, Machine Learning, Computer Vision","Published Research Paper, Internship at FAANG, Open Source Contributor","Cybersecurity Intern at Microsoft, Intern at Tesla (Autopilot team)",alexwilliamsCOZCD@gmail.com
Cameron Davis,University of Michigan,Robotics,2026,"SQL, Computer Vision, Machine Learning, Docker, Java, C++",Robotics Competition Winner,"Cloud Engineer Intern at IBM, Data Science Intern at Amazon",camerondavisSJHUP@gmail.com
Avery Johnson,University of Illinois Urbana-Champaign,Bioinformatics,2026,"Python, NLP, Java, Kubernetes, Blockchain, Data Analysis, Docker","Open Source Contributor, Startup Founder, Scholarship Recipient","Research Assistant in AI Lab, Software Engineering Intern at Google",averyjohnsonPFHOJ@gmail.com
Avery Miller,UCLA,Software Engineering,2027,"Kubernetes, Python, Java, NLP, TensorFlow, C++","Conference Speaker, Robotics Competition Winner",Intern at Tesla (Autopilot team),averymillerNBYQR@gmail.com
Riley Williams,University of Michigan,Computer Science,2028,"Machine Learning, Cybersecurity, Java, TensorFlow, Blockchain, Node.js",Robotics Competition Winner,"Cybersecurity Intern at Microsoft, Intern at Tesla (Autopilot team)",rileywilliamsJETQZ@gmail.com
Morgan Miller,UC Berkeley,Mechanical Engineering,2027,"PyTorch, C++, NLP, Blockchain, SQL",Internship at FAANG,Startup Co-Founder (Tech Product),morganmillerXPWND@gmail.com
Casey Martinez,UCLA,Software Engineering,2027,"PyTorch, TensorFlow, Cloud Computing, Cybersecurity, SQL","Hackathon Winner, Patent Holder",Research Assistant in AI Lab,caseymartinezQKRBN@gmail.com
Casey Garcia,Stanford University,Robotics,2030,"Data Analysis, Blockchain, React, Computer Vision","Patent Holder, Internship at FAANG",Machine Learning Intern at Meta,caseygarciaPBRFV@gmail.com
Morgan Garcia,MIT,Robotics,2026,"Node.js, PyTorch, Docker, MATLAB, Cybersecurity, AWS, Java","Robotics Competition Winner, Internship at FAANG, Conference Speaker","Research Assistant in AI Lab, Data Science Intern at Amazon",morgangarciaNNYZJ@gmail.com
Alex Williams,MIT,Information Systems,2028,"Cybersecurity, C++, React, Node.js","Patent Holder, Robotics Competition Winner","Cybersecurity Intern at Microsoft, Data Science Intern at Amazon",alexwilliamsSGNFC@gmail.com
Taylor Smith,University of Michigan,Data Science,2030,"Python, MATLAB, Cybersecurity, Cloud Computing",Published Research Paper,Teaching Assistant for CS courses,taylorsmithRVAJL@gmail.com
Avery Martinez,University of Washington,Artificial Intelligence,2030,"SQL, Deep Learning, Blockchain, C++","Robotics Competition Winner, Internship at FAANG, Scholarship Recipient",Software Engineering Intern at Google,averymartinezPOCVS@gmail.com
Riley Davis,University of Texas at Austin,Artificial Intelligence,2026,"Java, Cybersecurity, TensorFlow, Cloud Computing, Computer Vision","Hackathon Winner, Conference Speaker, Patent Holder","Teaching Assistant for CS courses, Startup Co-Founder (Tech Product)",rileydavisNJOZN@gmail.com
Jordan Williams,UCLA,Artificial Intelligence,2025,"Cloud Computing, NLP, Computer Vision, Data Analysis, React",Conference Speaker,"Teaching Assistant for CS courses, Intern at Tesla (Autopilot team)",jordanwilliamsSSUEZ@gmail.com
Sam Garcia,UCLA,Mechanical Engineering,2029,"Python, Cybersecurity, Kubernetes, AWS","Scholarship Recipient, Dean's List","Research Assistant in AI Lab, Machine Learning Intern at Meta",samgarciaZMGJV@gmail.com
Jamie Brown,Princeton University,Information Systems,2030,"AWS, Machine Learning, PyTorch, Docker, Cloud Computing, SQL, React",Published Research Paper,Software Engineering Intern at Google,jamiebrownUWDUD@gmail.com
Jamie Williams,UCLA,Robotics,2028,"SQL, C++, Java, Python","Published Research Paper, Startup Founder, Internship at FAANG",Data Science Intern at Amazon,jamiewilliamsKKVTC@gmail.com
Cameron Lee,Harvard University,Robotics,2028,"Machine Learning, Deep Learning, MATLAB, Blockchain, SQL, Cloud Computing",Dean's List,Data Science Intern at Amazon,cameronleeBCSMF@gmail.com
Cameron Martinez,Stanford University,Software Engineering,2030,"Node.js, Java, SQL, Docker, NLP",Conference Speaker,Machine Learning Intern at Meta,cameronmartinezYHHKO@gmail.com
Cameron Smith,MIT,Cybersecurity,2025,"SQL, React, Node.js, TensorFlow, Java",Dean's List,"Research Assistant in AI Lab, Robotics Research Intern",cameronsmithDNBUJ@gmail.com
Alex Miller,Georgia Tech,Bioinformatics,2026,"Deep Learning, C++, Java, Data Analysis, Kubernetes, NLP",Patent Holder,"Data Science Intern at Amazon, Research Assistant in AI Lab",alexmillerVGNGP@gmail.com
Alex Lee,Caltech,Electrical Engineering,2028,"NLP, Java, MATLAB, Blockchain",Scholarship Recipient,"Software Engineering Intern at Google, Research Assistant in AI Lab",alexleeYTXEQ@gmail.com
Avery Smith,University of Michigan,Software Engineering,2030,"PyTorch, NLP, Docker, Blockchain, Kubernetes",Hackathon Winner,"Machine Learning Intern at Meta, Cloud Engineer Intern at IBM",averysmithFUYSS@gmail.com
Jamie Johnson,University of Texas at Austin,Data Science,2027,"Blockchain, React, PyTorch, Deep Learning, NLP, C++","Hackathon Winner, Published Research Paper",Startup Co-Founder (Tech Product),jamiejohnsonLDDJX@gmail.com
Avery Martinez,UCLA,Mechanical Engineering,2029,"React, Docker, Node.js, Deep Learning, NLP, SQL, Cloud Computing","Patent Holder, Robotics Competition Winner, Conference Speaker",Research Assistant in AI Lab,averymartinezEYCUX@gmail.com
Sam Martinez,Purdue University,Electrical Engineering,2028,"Cloud Computing, SQL, Machine Learning, AWS, Deep Learning, Computer Vision, NLP","Published Research Paper, Open Source Contributor, Conference Speaker","Teaching Assistant for CS courses, Cybersecurity Intern at Microsoft",sammartinezBKZSR@gmail.com
Avery Miller,Carnegie Mellon University,Artificial Intelligence,2029,"Computer Vision, Cybersecurity, C++, Java, SQL","Published Research Paper, Startup Founder","Machine Learning Intern at Meta, Teaching Assistant for CS courses",averymillerQOINP@gmail.com
Jamie Brown,UCLA,Robotics,2029,"Deep Learning, React, SQL, Kubernetes",Patent Holder,Software Engineering Intern at Google,jamiebrownPWFSR@gmail.com
Casey Garcia,Purdue University,Electrical Engineering,2030,"React, TensorFlow, Blockchain, AWS, NLP",Dean's List,Teaching Assistant for CS courses,caseygarciaPKYFO@gmail.com
Alex Anderson,Purdue University,Computer Science,2030,"Docker, NLP, Node.js, TensorFlow, PyTorch, C++, Computer Vision",Conference Speaker,"Teaching Assistant for CS courses, Cybersecurity Intern at Microsoft",alexandersonXXUIQ@gmail.com
Taylor Miller,University of Texas at Austin,Robotics,2028,"Data Analysis, PyTorch, C++, TensorFlow, AWS",Robotics Competition Winner,"Robotics Research Intern, Research Assistant in AI Lab",taylormillerUEWOC@gmail.com
Jordan Johnson,Stanford University,Information Systems,2030,"Deep Learning, React, Python, Kubernetes, AWS",Patent Holder,"Intern at Tesla (Autopilot team), Cloud Engineer Intern at IBM",jordanjohnsonKWHBQ@gmail.com
Avery Smith,MIT,Mechanical Engineering,2030,"Kubernetes, AWS, Machine Learning, Cybersecurity","Internship at FAANG, Robotics Competition Winner, Hackathon Winner",Cybersecurity Intern at Microsoft,averysmithMQQUT@gmail.com
Sam Miller,Purdue University,Robotics,2026,"Cloud Computing, Node.js, MATLAB, Cybersecurity","Published Research Paper, Hackathon Winner, Patent Holder","Intern at Tesla (Autopilot team), Cloud Engineer Intern at IBM",sammillerDYCAJ@gmail.com
Sam Garcia,University of Washington,Bioinformatics,2028,"Deep Learning, C++, PyTorch, React, NLP","Published Research Paper, Open Source Contributor, Startup Founder","Data Science Intern at Amazon, Software Engineering Intern at Google",samgarciaUJTOB@gmail.com
Jordan Williams,Stanford University,Artificial Intelligence,2026,"Kubernetes, Computer Vision, Blockchain, Cybersecurity, Python, SQL","Robotics Competition Winner, Scholarship Recipient","Data Science Intern at Amazon, Cloud Engineer Intern at IBM",jordanwilliamsUXSIW@gmail.com
Sam Lee,University of Washington,Software Engineering,2027,"Java, SQL, C++, AWS, Computer Vision, Docker, React","Internship at FAANG, Conference Speaker, Dean's List","Cybersecurity Intern at Microsoft, Research Assistant in AI Lab",samleeMMGIP@gmail.com
Jordan Brown,University of Washington,Mechanical Engineering,2026,"Docker, Machine Learning, Node.js, Kubernetes","Startup Founder, Patent Holder, Robotics Competition Winner",Teaching Assistant for CS courses,jordanbrownBKNKY@gmail.com
Jamie Brown,University of Michigan,Artificial Intelligence,2028,"PyTorch, Cybersecurity, TensorFlow, React, Data Analysis, Deep Learning","Conference Speaker, Startup Founder, Hackathon Winner","Teaching Assistant for CS courses, Cloud Engineer Intern at IBM",jamiebrownIGKSR@gmail.com
Riley Davis,UCLA,Data Science,2029,"Kubernetes, TensorFlow, Blockchain, Data Analysis, Cybersecurity",Dean's List,Cybersecurity Intern at Microsoft,rileydavisTTXPX@gmail.com
Casey Williams,UC Berkeley,Bioinformatics,2027,"Docker, SQL, Java, TensorFlow, Python, Data Analysis, MATLAB",Robotics Competition Winner,"Robotics Research Intern, Data Science Intern at Amazon",caseywilliamsSFRXH@gmail.com
Cameron Williams,University of Illinois Urbana-Champaign,Information Systems,2029,"NLP, AWS, Node.js, Data Analysis","Conference Speaker, Published Research Paper, Patent Holder",Intern at Tesla (Autopilot team),cameronwilliamsFFWER@gmail.com
Taylor Brown,Georgia Tech,Cybersecurity,2028,"Computer Vision, Deep Learning, PyTorch, Cybersecurity, SQL, NLP",Dean's List,"Cloud Engineer Intern at IBM, Intern at Tesla (Autopilot team)",taylorbrownLPZSZ@gmail.com
Avery Smith,University of Michigan,Bioinformatics,2027,"TensorFlow, Kubernetes, Data Analysis, NLP",Startup Founder,Machine Learning Intern at Meta,averysmithJFEVD@gmail.com
Sam Garcia,MIT,Bioinformatics,2029,"Blockchain, Python, Kubernetes, NLP, SQL, TensorFlow",Published Research Paper,"Cloud Engineer Intern at IBM, Software Engineering Intern at Google",samgarciaMETLR@gmail.com
Avery Brown,Georgia Tech,Software Engineering,2026,"Data Analysis, React, Cybersecurity, SQL, Computer Vision, Java, PyTorch","Hackathon Winner, Internship at FAANG",Machine Learning Intern at Meta,averybrownFGMYG@gmail.com
Morgan Brown,Stanford University,Electrical Engineering,2026,"Java, Computer Vision, Deep Learning, Docker, Kubernetes, Blockchain, Cybersecurity","Published Research Paper, Hackathon Winner, Scholarship Recipient",Software Engineering Intern at Google,morganbrownVUDIO@gmail.com
Sam Martinez,University of Texas at Austin,Bioinformatics,2028,"Deep Learning, Docker, Kubernetes, C++, Data Analysis","Patent Holder, Robotics Competition Winner, Published Research Paper","Cybersecurity Intern at Microsoft, Machine Learning Intern at Meta",sammartinezTUPXE@gmail.com
Cameron Johnson,UCLA,Artificial Intelligence,2026,"Computer Vision, SQL, Cybersecurity, Java",Scholarship Recipient,"Research Assistant in AI Lab, Software Engineering Intern at Google",cameronjohnsonBOJOC@gmail.com
Avery Martinez,UCLA,Software Engineering,2026,"Blockchain, SQL, MATLAB, NLP",Open Source Contributor,"Teaching Assistant for CS courses, Machine Learning Intern at Meta",averymartinezRPXIC@gmail.com
Avery Johnson,University of Michigan,Mechanical Engineering,2027,"Node.js, Blockchain, Deep Learning, Python, Computer Vision, C++","Patent Holder, Conference Speaker",Research Assistant in AI Lab,averyjohnsonDIXKS@gmail.com
Casey Miller,University of Michigan,Bioinformatics,2025,"Machine Learning, SQL, C++, Java, Deep Learning, Cloud Computing","Published Research Paper, Internship at FAANG",Cybersecurity Intern at Microsoft,caseymillerLZIQK@gmail.com
Taylor Smith,University of Washington,Mechanical Engineering,2029,"Java, AWS, TensorFlow, Kubernetes","Patent Holder, Dean's List, Scholarship Recipient","Data Science Intern at Amazon, Research Assistant in AI Lab",taylorsmithNDIDC@gmail.com
Casey Martinez,MIT,Information Systems,2028,"Docker, Deep Learning, PyTorch, Python, Data Analysis, Cybersecurity, Node.js","Hackathon Winner, Scholarship Recipient, Published Research Paper",Startup Co-Founder (Tech Product),caseymartinezAYRKG@gmail.com
Taylor Lee,Georgia Tech,Computer Science,2029,"Python, Docker, Blockchain, Deep Learning, SQL",Conference Speaker,"Startup Co-Founder (Tech Product), Data Science Intern at Amazon",taylorleeYBHRV@gmail.com
Casey Davis,University of Washington,Mechanical Engineering,2027,"AWS, Computer Vision, Node.js, Cloud Computing, Kubernetes","Open Source Contributor, Hackathon Winner, Dean's List",Data Science Intern at Amazon,caseydavisIJIZB@gmail.com
Jordan Miller,Carnegie Mellon University,Information Systems,2030,"Cloud Computing, Java, TensorFlow, C++, Kubernetes, Deep Learning",Scholarship Recipient,"Machine Learning Intern at Meta, Research Assistant in AI Lab",jordanmillerTRRRW@gmail.com
Casey Williams,UCLA,Data Science,2029,"Blockchain, SQL, TensorFlow, Cybersecurity, Deep Learning",Robotics Competition Winner,"Software Engineering Intern at Google, Data Science Intern at Amazon",caseywilliamsZTXWI@gmail.com
Jordan Smith,University of Illinois Urbana-Champaign,Artificial Intelligence,2027,"Machine Learning, Java, C++, NLP, MATLAB, Cybersecurity, Computer Vision","Published Research Paper, Startup Founder","Teaching Assistant for CS courses, Robotics Research Intern",jordansmithRDIBT@gmail.com
Alex Lee,UCLA,Robotics,2028,"Cloud Computing, Data Analysis, Docker, Node.js, Java, NLP","Dean's List, Hackathon Winner","Data Science Intern at Amazon, Robotics Research Intern",alexleeGDKFD@gmail.com
Sam Garcia,Princeton University,Cybersecurity,2027,"SQL, Cybersecurity, Python, Blockchain, Machine Learning, Java, Deep Learning",Startup Founder,"Cloud Engineer Intern at IBM, Software Engineering Intern at Google",samgarciaOAALD@gmail.com
Sam Miller,Purdue University,Bioinformatics,2025,"Cloud Computing, Machine Learning, NLP, Kubernetes","Internship at FAANG, Robotics Competition Winner, Startup Founder","Robotics Research Intern, Research Assistant in AI Lab",sammillerFILQJ@gmail.com
Riley Williams,Caltech,Artificial Intelligence,2028,"Cybersecurity, Docker, Node.js, Deep Learning","Conference Speaker, Robotics Competition Winner","Data Science Intern at Amazon, Cloud Engineer Intern at IBM",rileywilliamsFTUHB@gmail.com
Cameron Anderson,Princeton University,Artificial Intelligence,2026,"Java, TensorFlow, Data Analysis, React, Cybersecurity, Kubernetes, Blockchain","Published Research Paper, Conference Speaker, Patent Holder",Robotics Research Intern,cameronandersonLCYPZ@gmail.com
Taylor Martinez,Cornell University,Software Engineering,2030,"Cloud Computing, Blockchain, Deep Learning, Computer Vision, C++, React, NLP","Robotics Competition Winner, Conference Speaker",Teaching Assistant for CS courses,taylormartinezVAWZO@gmail.com
Morgan Lee,MIT,Electrical Engineering,2028,"C++, Blockchain, PyTorch, Docker, Cybersecurity, Java",Patent Holder,"Data Science Intern at Amazon, Machine Learning Intern at Meta",morganleeACSIK@gmail.com
Jamie Miller,University of Michigan,Bioinformatics,2027,"Kubernetes, Cloud Computing, SQL, PyTorch, AWS, Deep Learning",Conference Speaker,Robotics Research Intern,jamiemillerEVFKQ@gmail.com
Sam Anderson,Purdue University,Cybersecurity,2025,"C++, Cybersecurity, Docker, Machine Learning, Java","Startup Founder, Dean's List",Robotics Research Intern,samandersonJXIOF@gmail.com
Casey Miller,UCLA,Robotics,2026,"Python, Blockchain, React, Cloud Computing, C++, MATLAB, Cybersecurity","Scholarship Recipient, Internship at FAANG","Research Assistant in AI Lab, Cloud Engineer Intern at IBM",caseymillerOBTHW@gmail.com
Avery Brown,UC Berkeley,Computer Science,2027,"TensorFlow, Kubernetes, NLP, Deep Learning, Cloud Computing, PyTorch","Internship at FAANG, Patent Holder",Startup Co-Founder (Tech Product),averybrownSPQAW@gmail.com
Avery Lee,MIT,Software Engineering,2030,"PyTorch, Deep Learning, SQL, React",Internship at FAANG,Software Engineering Intern at Google,averyleeKNMCB@gmail.com
Riley Lee,Carnegie Mellon University,Bioinformatics,2026,"AWS, Machine Learning, PyTorch, React, Data Analysis, Python",Scholarship Recipient,"Research Assistant in AI Lab, Data Science Intern at Amazon",rileyleeLPVBK@gmail.com
Riley Johnson,Princeton University,Information Systems,2027,"Cybersecurity, TensorFlow, MATLAB, Kubernetes, NLP, AWS",Dean's List,Data Science Intern at Amazon,rileyjohnsonAIRKX@gmail.com
Taylor Davis,University of Washington,Bioinformatics,2025,"NLP, SQL, Kubernetes, Deep Learning, TensorFlow, Machine Learning","Startup Founder, Open Source Contributor",Data Science Intern at Amazon,taylordavisAYXXI@gmail.com
Riley Davis,Stanford University,Data Science,2026,"Python, Docker, Kubernetes, Cloud Computing, Blockchain","Scholarship Recipient, Open Source Contributor, Published Research Paper","Data Science Intern at Amazon, Cybersecurity Intern at Microsoft",rileydavisKACXK@gmail.com
Casey Williams,Harvard University,Computer Science,2026,"Machine Learning, SQL, Node.js, MATLAB, Computer Vision",Dean's List,Research Assistant in AI Lab,caseywilliamsPKQDM@gmail.com
Cameron Garcia,Harvard University,Information Systems,2027,"React, C++, Docker, Kubernetes, Blockchain, Python",Conference Speaker,"Cybersecurity Intern at Microsoft, Cloud Engineer Intern at IBM",camerongarciaNVEGO@gmail.com
Morgan Garcia,Harvard University,Electrical Engineering,2026,"Machine Learning, Docker, C++, Blockchain","Internship at FAANG, Conference Speaker",Cloud Engineer Intern at IBM,morgangarciaYXROB@gmail.com
Jordan Miller,Caltech,Artificial Intelligence,2029,"Cloud Computing, Docker, SQL, MATLAB, Kubernetes, Java, PyTorch",Open Source Contributor,Cybersecurity Intern at Microsoft,jordanmillerNUENZ@gmail.com
Cameron Anderson,Stanford University,Cybersecurity,2028,"Python, React, Machine Learning, Computer Vision, NLP, SQL","Robotics Competition Winner, Startup Founder, Internship at FAANG",Cybersecurity Intern at Microsoft,cameronandersonGSOYE@gmail.com
Jordan Johnson,University of Texas at Austin,Electrical Engineering,2027,"Cybersecurity, Node.js, PyTorch, NLP","Published Research Paper, Scholarship Recipient",Teaching Assistant for CS courses,jordanjohnsonYPWCS@gmail.com
Avery Anderson,Princeton University,Mechanical Engineering,2030,"Node.js, React, AWS, Python, NLP, Java","Startup Founder, Hackathon Winner, Published Research Paper",Software Engineering Intern at Google,averyandersonOCCBE@gmail.com
Cameron Miller,Georgia Tech,Mechanical Engineering,2025,"Cybersecurity, Java, Machine Learning, Deep Learning, Python",Internship at FAANG,"Software Engineering Intern at Google, Research Assistant in AI Lab",cameronmillerLVYAN@gmail.com
Morgan Smith,UC Berkeley,Data Science,2028,"Node.js, Machine Learning, Cybersecurity, PyTorch, React","Hackathon Winner, Open Source Contributor, Patent Holder",Startup Co-Founder (Tech Product),morgansmithUIZXO@gmail.com
Sam Davis,University of Illinois Urbana-Champaign,Robotics,2026,"Data Analysis, C++, Java, Python, PyTorch","Scholarship Recipient, Internship at FAANG",Robotics Research Intern,samdavisLCZLF@gmail.com
Avery Garcia,MIT,Software Engineering,2026,"AWS, React, Computer Vision, Data Analysis, Cloud Computing, NLP, PyTorch",Conference Speaker,Intern at Tesla (Autopilot team),averygarciaKZKYL@gmail.com
Riley Lee,Caltech,Information Systems,2026,"Data Analysis, TensorFlow, NLP, Computer Vision, SQL, Docker, AWS","Published Research Paper, Open Source Contributor","Data Science Intern at Amazon, Software Engineering Intern at Google",rileyleeHMDFN@gmail.com
Avery Smith,MIT,Artificial Intelligence,2028,"Machine Learning, Deep Learning, Java, Blockchain, React","Scholarship Recipient, Open Source Contributor",Software Engineering Intern at Google,averysmithBSPMF@gmail.com
Casey Garcia,MIT,Data Science,2027,"SQL, MATLAB, Machine Learning, Kubernetes, PyTorch, React","Patent Holder, Published Research Paper, Scholarship Recipient","Intern at Tesla (Autopilot team), Research Assistant in AI Lab",caseygarciaNBOXI@gmail.com
Casey Lee,University of Michigan,Electrical Engineering,2028,"Kubernetes, AWS, Java, Cloud Computing","Conference Speaker, Scholarship Recipient",Cloud Engineer Intern at IBM,caseyleeBFYOW@gmail.com
Cameron Davis,Purdue University,Bioinformatics,2026,"Node.js, C++, AWS, MATLAB",Open Source Contributor,"Cloud Engineer Intern at IBM, Data Science Intern at Amazon",camerondavisAPRTW@gmail.com
Jordan Davis,UCLA,Robotics,2028,"MATLAB, AWS, Python, Computer Vision, Data Analysis, Java",Hackathon Winner,Research Assistant in AI Lab,jordandavisAMPDD@gmail.com
Jamie Garcia,Georgia Tech,Bioinformatics,2029,"React, Python, Computer Vision, Java, Data Analysis",Hackathon Winner,Software Engineering Intern at Google,jamiegarciaILMHS@gmail.com
Casey Brown,UC Berkeley,Robotics,2027,"React, Java, Data Analysis, PyTorch, Deep Learning, AWS, Blockchain","Startup Founder, Conference Speaker, Hackathon Winner",Teaching Assistant for CS courses,caseybrownINQQP@gmail.com
Avery Davis,Purdue University,Data Science,2028,"Kubernetes, AWS, Python, Node.js, Deep Learning, Docker, C++",Published Research Paper,Data Science Intern at Amazon,averydavisNAQKY@gmail.com
Sam Johnson,Caltech,Cybersecurity,2028,"Machine Learning, PyTorch, AWS, Python","Conference Speaker, Startup Founder, Open Source Contributor",Software Engineering Intern at Google,samjohnsonVWKDZ@gmail.com
Avery Davis,MIT,Electrical Engineering,2030,"Node.js, MATLAB, Deep Learning, TensorFlow","Open Source Contributor, Hackathon Winner, Published Research Paper",Software Engineering Intern at Google,averydavisADRYY@gmail.com
Jordan Johnson,UC Berkeley,Information Systems,2029,"Data Analysis, Node.js, Java, C++, React","Robotics Competition Winner, Scholarship Recipient","Teaching Assistant for CS courses, Machine Learning Intern at Meta",jordanjohnsonHSDPM@gmail.com
Jordan Johnson,Princeton University,Cybersecurity,2029,"Python, MATLAB, React, SQL",Conference Speaker,Software Engineering Intern at Google,jordanjohnsonPJERJ@gmail.com
Avery Miller,Georgia Tech,Software Engineering,2027,"Blockchain, Data Analysis, PyTorch, Cybersecurity, Machine Learning, React, Computer Vision","Published Research Paper, Open Source Contributor",Cloud Engineer Intern at IBM,averymillerCFYLJ@gmail.com
Sam Smith,Cornell University,Data Science,2027,"Blockchain, MATLAB, Computer Vision, NLP, React, AWS",Conference Speaker,Software Engineering Intern at Google,samsmithNMPAX@gmail.com
Taylor Lee,UCLA,Bioinformatics,2026,"Node.js, React, Java, Docker, MATLAB, Kubernetes, Python","Internship at FAANG, Robotics Competition Winner","Research Assistant in AI Lab, Cybersecurity Intern at Microsoft",taylorleeLFPUH@gmail.com
Jordan Martinez,UC Berkeley,Cybersecurity,2026,"SQL, Deep Learning, Python, Machine Learning, Blockchain","Scholarship Recipient, Conference Speaker",Data Science Intern at Amazon,jordanmartinezQPKBM@gmail.com
Sam Smith,University of Michigan,Mechanical Engineering,2028,"C++, Data Analysis, PyTorch, Python","Patent Holder, Conference Speaker","Machine Learning Intern at Meta, Robotics Research Intern",samsmithELJJV@gmail.com
Jordan Davis,Cornell University,Artificial Intelligence,2025,"Machine Learning, Java, Cloud Computing, Computer Vision, Node.js, Docker, TensorFlow",Dean's List,Software Engineering Intern at Google,jordandavisVGFZE@gmail.com
Riley Davis,University of Illinois Urbana-Champaign,Software Engineering,2029,"React, C++, Deep Learning, Blockchain","Scholarship Recipient, Hackathon Winner, Open Source Contributor",Robotics Research Intern,rileydavisEYNOX@gmail.com
Cameron Brown,Purdue University,Computer Science,2028,"NLP, Blockchain, Node.js, Kubernetes, C++",Open Source Contributor,Cybersecurity Intern at Microsoft,cameronbrownRLMAS@gmail.com
Sam Garcia,Georgia Tech,Information Systems,2030,"React, Python, NLP, Cloud Computing, MATLAB, Data Analysis, Cybersecurity","Hackathon Winner, Internship at FAANG, Startup Founder",Cloud Engineer Intern at IBM,samgarciaXISTN@gmail.com
Cameron Miller,MIT,Cybersecurity,2030,"Kubernetes, C++, Docker, Node.js, Machine Learning, AWS, Deep Learning","Scholarship Recipient, Published Research Paper","Machine Learning Intern at Meta, Research Assistant in AI Lab",cameronmillerGYVYY@gmail.com
Riley Smith,University of Illinois Urbana-Champaign,Robotics,2029,"Node.js, NLP, Blockchain, Docker, Deep Learning",Hackathon Winner,"Software Engineering Intern at Google, Teaching Assistant for CS courses",rileysmithKFRFL@gmail.com
Jordan Brown,University of Washington,Data Science,2030,"Docker, Cloud Computing, React, Cybersecurity, Deep Learning, Python","Internship at FAANG, Scholarship Recipient","Startup Co-Founder (Tech Product), Research Assistant in AI Lab",jordanbrownYURQE@gmail.com
Alex Johnson,University of Texas at Austin,Bioinformatics,2029,"PyTorch, Data Analysis, TensorFlow, React","Dean's List, Hackathon Winner, Published Research Paper","Software Engineering Intern at Google, Teaching Assistant for CS courses",alexjohnsonVHXLH@gmail.com
Alex Williams,Purdue University,Software Engineering,2025,"React, NLP, Deep Learning, Computer Vision, PyTorch, TensorFlow","Robotics Competition Winner, Internship at FAANG","Startup Co-Founder (Tech Product), Data Science Intern at Amazon",alexwilliamsKLAAD@gmail.com
Morgan Brown,Carnegie Mellon University,Electrical Engineering,2027,"Computer Vision, Kubernetes, React, Node.js","Startup Founder, Published Research Paper","Cybersecurity Intern at Microsoft, Intern at Tesla (Autopilot team)",morganbrownVVTKD@gmail.com
Taylor Miller,University of Texas at Austin,Bioinformatics,2028,"AWS, TensorFlow, Computer Vision, React",Conference Speaker,Teaching Assistant for CS courses,taylormillerLLIEW@gmail.com
Riley Williams,University of Texas at Austin,Bioinformatics,2028,"NLP, Java, PyTorch, Data Analysis, Computer Vision, Blockchain, Cloud Computing","Startup Founder, Patent Holder, Robotics Competition Winner",Teaching Assistant for CS courses,rileywilliamsTDAPU@gmail.com
Cameron Davis,Purdue University,Data Science,2026,"TensorFlow, Java, Data Analysis, Node.js, Computer Vision, Blockchain",Internship at FAANG,Cloud Engineer Intern at IBM,camerondavisLTNZP@gmail.com
Casey Brown,Stanford University,Artificial Intelligence,2029,"Java, SQL, Python, MATLAB, PyTorch, Node.js, Docker","Startup Founder, Scholarship Recipient",Startup Co-Founder (Tech Product),caseybrownKDXOE@gmail.com
Sam Brown,Carnegie Mellon University,Cybersecurity,2028,"Java, Docker, Node.js, React, NLP",Open Source Contributor,Cloud Engineer Intern at IBM,sambrownDIPAR@gmail.com
